Name,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Team,Category
RASHID KHAN,2016,8,32,194,13,6.06,14.9,14.8,0,3/13,Sunrisers Hyderabad,BOWLER
RASHID KHAN,2017,36,140.4,818,43,5.82,19,19.6,0,3/15,Sunrisers Hyderabad,BOWLER
RASHID KHAN,2018,43,168,1060,64,6.31,16.6,15.8,0,3/9,Sunrisers Hyderabad,BOWLER
RASHID KHAN,2019,38,147.5,1008,43,6.82,23.4,20.6,0,3/21,Sunrisers Hyderabad,BOWLER
RASHID KHAN,2020,42,162.2,1037,51,6.39,20.3,19.1,0,4/22,Sunrisers Hyderabad,BOWLER
RASHID KHAN,2021,6,24,136,9,5.67,15.1,16,0,3/18,Sunrisers Hyderabad,BOWLER
MITCHELL MARSH,2010,3,10,88,2,8.8,44,30,0,1/19,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2011,8,21.1,157,7,7.42,22.4,18.1,0,4/25,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2012,7,13,115,3,8.85,38.3,26,0,2/17,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2013,9,24.2,214,9,8.79,23.8,16.2,0,2/7,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2014,6,17,157,4,9.24,39.2,25.5,0,2/12,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2015,1,2,16,0,8,NA,NA,0,0/16,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2016,6,16,98,6,6.12,16.3,16,0,2/14,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2017,2,5,57,1,11.4,57,30,0,1/25,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2018,1,4,53,0,13.25,NA,NA,0,0/53,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2019,6,10,118,1,11.8,118,60,0,1/26,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2020,11,23.4,175,7,7.39,25,20.3,0,2/10,Sunrisers Hyderabad,ALL ROUNDER
MITCHELL MARSH,2021,3,5.3,46,2,8.36,23,16.5,0,1/12,Sunrisers Hyderabad,ALL ROUNDER
JASON HOLDER,2013,18,56.1,436,11,7.76,39.6,30.6,0,2/19,Sunrisers Hyderabad,ALL ROUNDER
JASON HOLDER,2014,15,48.4,352,10,7.23,35.2,29.2,0,4/27,Sunrisers Hyderabad,ALL ROUNDER
JASON HOLDER,2015,10,35,277,6,7.91,46.2,35,0,3/11,Sunrisers Hyderabad,ALL ROUNDER
